Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Midlands
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
2003   64.6   28.2   32.8   41.4   65.5   67.1   64.0   15.9   28.8   47.5   69.9   85.6   203.0   139.7   147.1   146.1   611.4
2004   98.0   40.6   41.0   87.0   42.8   51.7   60.2  155.0   51.3  121.3   46.3   43.9   224.2   170.9   266.9   218.9   839.2
2005   42.4   44.5   47.5   61.8   37.9   54.4   61.3   53.3   62.2   95.6   65.5   55.9   130.9   147.2   168.9   223.3   682.3
2006   22.3   41.7   77.7   43.7  104.1   16.4   49.4   84.8   75.4   94.7   82.8  101.0   119.9   225.5   150.7   252.9   794.1
2007   91.7   85.1   55.3    8.7  112.4  166.9  143.4   40.9   38.3   41.6   64.6   78.0   277.7   176.4   351.2   144.5   926.8
2008  127.0   37.0   84.4   62.9   59.8   52.9   98.2  102.8  104.0   78.8   76.3   54.7   242.1   207.1   253.8   259.1   938.8
2009   66.1   40.6   32.3   40.5   57.0   68.3  127.4   53.5   23.7   57.2  141.0   73.8   161.5   129.9   249.2   221.9   781.6
2010   61.2   56.1   50.2   24.9   31.6   40.2   53.3   98.4   67.4   65.0   71.3   27.6   191.1   106.7   191.9   203.6   647.1
2011   56.7   72.5   12.0    7.9   54.0   55.8   48.5   57.1   41.5   52.7   42.9   93.4   156.8    73.9   161.5   137.1   595.1
2012   62.7   29.1   22.9  140.2   51.7  151.9  112.6   88.1   87.5   86.8  113.2  137.4   185.3   214.7   352.6   287.5  1084.2
2013   64.2   45.5   65.1   21.9   78.5   36.2   67.3   52.6   44.8  132.9   58.8   89.6   247.1   165.5   156.2   236.5   757.5
2014  148.8  108.6   47.4   46.2  102.7   51.4   48.6  102.5   13.6   85.0   92.8   72.7   347.0   196.3   202.5   191.3   920.2
2015   75.5   41.0   52.4   23.3   79.2   37.3   65.9   80.4   41.6   57.4  107.5  120.7   189.1   154.9   183.5   206.6   782.1
2016   98.8   70.1   82.8   62.2   55.2   99.2   35.0   64.7   58.2   28.0   96.6   34.1   289.6   200.1   198.9   182.8   784.9
2017   59.0   55.9   66.8   16.3   55.8   66.2   79.9   67.9   84.6   46.2   55.0   87.6   149.0   138.9   214.0   185.8   741.2
2018   82.6   37.0  105.1   79.1   55.1   11.4   30.7   55.5   60.9   54.2   62.5   92.7   207.1   239.2    97.6   177.6   726.7
2019   32.2   38.5   83.8   35.9   42.6  124.1   78.9   80.2  115.0  129.0  125.1   88.2   163.3   162.3   283.2   369.1   973.4
2020   64.5  162.0   44.4   28.2    6.7   93.1   66.5  118.3   35.7  127.7   53.8  126.6   314.6    79.3   277.8   217.2   927.2
2021  124.5   64.2   45.0   13.5  119.0   36.7   79.7   42.9   59.5  105.0   34.5   86.4   315.3   177.5   159.4   199.1   811.2
2022   28.7  111.4   41.2   23.9   50.4   45.7   23.7   30.6   62.5  108.5  123.5   71.5   226.5   115.5   100.0   294.4   721.5
2023   76.7   12.4  118.3   64.1   34.9   48.5  120.1   60.0   74.7  151.9   87.2  150.7   160.6   217.4   228.6   313.8   999.5
