Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for East Anglia
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1954   34.0   52.2   56.9    8.4   55.3   61.7   69.1  105.6   42.9   51.5   98.5   48.4   106.4   120.6   236.4   192.9   684.5
1955   51.1   50.3   37.4   11.5   76.6   60.2    7.4   32.9   44.3   84.1   24.0   42.0   149.8   125.4   100.4   152.5   521.7
1956   86.4   25.0   18.5   26.3   16.6   57.8   76.5  105.9   42.5   47.4   23.6   53.4   153.4    61.5   240.2   113.5   580.1
1957   34.5   60.6   40.1    7.0   30.9   46.9   74.7   60.1   86.6   40.4   49.1   52.0   148.5    78.0   181.7   176.1   582.9
1958   56.5   73.6   27.6   27.3   64.1  106.9   78.3   78.2   76.7   53.6   36.3   71.2   182.1   119.1   263.4   166.5   750.3
1959   65.8    3.7   41.5   45.8   15.0   25.8   61.4   32.8    1.6   46.9   52.0   87.6   140.6   102.3   120.1   100.5   479.9
1960   69.6   39.6   33.8   14.3   24.1   45.2   79.9   80.0   93.8  128.5   86.3   80.4   196.7    72.2   205.1   308.5   775.4
1961   66.9   46.6    8.3   49.0   27.9   30.8   42.6   56.1   63.5   82.9   49.8   81.4   193.9    85.2   129.5   196.2   605.9
1962   56.5   19.8   34.6   44.9   45.8    5.6   73.7   51.2   72.5   30.5   47.3   46.1   157.7   125.3   130.4   150.3   528.3
1963   24.6   16.3   65.9   53.0   48.4   46.2   47.3   83.9   47.2   38.8   84.9   16.1    87.0   167.2   177.4   170.9   572.6
1964   19.4   23.7   71.8   63.5   29.4   94.4   31.2   27.9   14.8   36.9   35.4   42.2    59.3   164.7   153.5    87.1   490.5
1965   49.5   20.0   50.9   56.0   40.6   53.4   80.8   60.1  100.6   16.1   63.6  103.9   111.7   147.5   194.3   180.3   695.5
1966   29.7   63.8   14.9   62.2   40.3   69.9   80.6   74.1   26.9   79.3   67.0   74.9   197.4   117.3   224.5   173.2   683.4
1967   31.9   45.0   23.1   58.3   87.2   30.4   39.1   44.5   50.5   91.8   54.7   50.0   151.8   168.5   114.0   196.9   606.3
1968   46.0   32.2   23.7   41.7   43.2   67.8   86.2   88.0  122.5   49.6   43.3   51.2   128.1   108.6   242.0   215.3   695.3
1969   57.3   52.0   57.0   35.1   85.0   39.6   73.4   59.9    4.4    7.1   81.6   63.0   160.6   177.1   172.9    93.0   615.4
1970   61.9   55.9   45.0   67.6   18.7   28.0   44.5   39.2   43.6   26.9  139.1   47.1   180.8   131.3   111.8   209.6   617.6
1971   73.1   15.7   41.5   28.9   39.0   74.8   36.2   70.6   21.4   57.3   80.5   27.1   135.9   109.4   181.5   159.2   565.9
1972   61.8   34.9   41.3   42.0   38.3   36.2   50.1   23.0   39.0    7.2   57.4   48.3   123.8   121.5   109.3   103.6   479.4
1973   16.5   20.9   13.4   52.4   64.6   59.8   64.7   25.2   79.3   36.7   29.4   34.6    85.6   130.5   149.7   145.3   497.4
1974   44.9   57.9   26.3   11.4   19.0   52.9   46.1   84.4   91.9   99.6  107.9   32.4   137.4    56.6   183.3   299.4   674.6
1975   69.9   21.8   77.2   59.0   53.4   26.1   34.4   16.3   91.6   15.2   58.1   32.1   124.1   189.6    76.8   165.0   555.2
1976   37.6   18.4   13.5   13.7   29.4   11.6   33.2   40.8   87.6   98.1   68.8   59.8    88.1    56.7    85.6   254.5   512.7
1977   64.7   81.3   44.7   31.6   39.9   50.6   10.1   97.3   16.5   23.2   55.2   57.4   205.7   116.2   158.1    94.9   572.4
1978   72.5   46.2   59.7   44.3   48.4   67.1   62.0   47.3   33.7    6.1   23.0  104.8   176.2   152.4   176.4    62.8   615.1
1979   63.1   57.2   88.3   55.4   79.0   32.4   21.1   58.2   19.2   49.6   48.6   96.1   225.0   222.6   111.7   117.4   668.1
1980   38.4   46.8   61.5   23.3   15.2   84.1   66.3   49.2   27.8   81.1   49.9   43.7   181.3    99.9   199.5   158.8   587.2
1981   41.8   24.6   92.8   69.0   66.9   32.2   57.8   29.7   77.9   70.5   37.4   53.4   110.2   228.7   119.7   185.7   654.0
1982   37.3   19.5   53.6   13.2   57.3   98.8   24.7   52.7   50.3  122.4   72.2   54.6   110.2   124.1   176.2   244.9   656.7
1983   42.3   40.9   37.0   92.1   93.6   22.2   31.5   12.8   64.5   38.9   48.4   42.7   137.8   222.8    66.4   151.8   566.9
1984   83.1   37.1   46.5   12.7   72.9   50.2   24.4   41.4   93.4   54.6   76.4   45.0   162.9   132.1   116.0   224.4   637.7
1985   54.9   12.3   40.8   41.9   53.1  109.4   50.0   55.2   14.5   14.5   51.4   84.5   112.2   135.7   214.6    80.4   582.3
1986   64.0   17.0   53.1   59.3   53.8   20.8   54.6   86.5   28.4   71.3   62.7   69.5   165.5   166.2   162.0   162.4   641.1
1987   22.1   28.7   45.6   42.9   53.1   93.8   80.5   91.6   38.0  130.0   53.5   25.2   120.3   141.5   265.9   221.5   704.9
1988  116.5   32.6   75.0   31.4   44.7   37.4   95.1   41.1   41.0   57.1   34.8   22.2   174.3   151.2   173.6   132.9   629.1
1989   31.9   40.4   50.2   72.6    9.5   54.6   44.7   35.9   24.9   39.3   30.8  104.3    94.5   132.3   135.2    95.0   539.2
1990   53.8   78.9   15.3   39.4   14.3   43.2   18.6   32.4   32.3   50.9   56.8   47.9   237.1    69.0    94.2   139.9   483.9
1991   43.6   38.1   28.7   47.0   14.8   85.1   40.6   21.8   56.9   23.9   58.2   22.3   129.6    90.5   147.4   138.9   480.8
1992   39.0   16.7   64.0   48.7   51.9   33.7   81.3   77.4   83.3   75.3   87.6   40.0    78.0   164.7   192.4   246.2   698.9
1993   56.9   17.9   18.1   66.4   51.8   46.8   64.0   43.4  103.1   98.6   65.2   86.4   114.8   136.4   154.2   266.9   718.7
1994   71.1   41.0   51.2   52.4   52.1   27.6   32.2   59.1   74.0   75.0   25.2   56.0   198.5   155.7   118.9   174.1   616.8
1995  102.5   66.5   54.8   15.3   25.9   27.2   29.3    8.1  103.6   11.9   33.1   71.4   224.9    96.1    64.6   148.5   549.6
1996   31.7   49.9   19.5    9.2   21.8   14.0   42.3   81.4   17.6   41.7   94.9   33.6   152.9    50.5   137.7   154.2   457.5
1997   10.7   46.0   10.9   13.5   42.9  128.8   34.0   47.2   12.1   49.1   57.1   80.3    90.3    67.4   210.0   118.3   532.7
1998   61.5    6.9   50.2  117.8   15.5   96.1   32.2   34.3   76.1   93.2   59.4   69.1   148.7   183.5   162.6   228.8   712.3
1999   66.5   28.7   49.5   42.6   25.9   87.6   30.5   96.9   79.7   51.8   37.4   72.3   164.2   118.1   215.0   168.9   669.5
2000   21.4   60.1   16.4   93.4   92.0   17.2   60.3   39.1   81.0  125.0  110.1   63.7   153.8   201.8   116.6   316.1   779.7
2001   54.2   84.5   89.4   73.3   39.9   36.8   80.2   72.6   85.6   86.6   52.3   24.2   202.4   202.6   189.6   224.5   779.6
2002   45.4   56.8   35.8   32.5   58.0   34.1   69.0   54.8   30.5   85.1  105.8   99.7   126.4   126.3   157.9   221.5   707.6
2003   80.4   17.2   17.5   25.2   45.5   63.5   54.9    5.6   21.1   39.8   85.7   60.3   197.3    88.1   124.0   146.6   516.7
2004   83.6   37.5   33.1   58.8   44.6   39.3   70.1  116.5   29.5   88.8   45.4   29.7   181.4   136.6   225.9   163.8   677.0
2005   28.8   40.4   31.7   38.5   39.0   45.6   51.8   54.6   61.2   66.3   39.7   32.1    99.0   109.3   152.0   167.2   529.8
2006   15.6   38.1   37.9   34.3   81.0   20.1   28.8  105.9   56.4   66.2   66.7   55.4    85.9   153.2   154.7   189.3   606.3
2007   65.1   65.4   38.9    1.0  118.0   99.5   73.7   53.8   34.0   52.5   41.2   45.7   185.9   157.8   226.9   127.7   688.6
2008   70.6   18.6   83.1   45.4   68.0   43.3   54.6   80.6   51.7   60.5   80.9   27.1   135.0   196.5   178.6   193.0   684.5
2009   47.5   58.8   35.4   16.0   33.7   49.5   79.6   34.3   15.8   42.8  104.5   79.5   133.4    85.1   163.4   163.1   597.4
2010   49.4   82.3   34.0   15.2   25.5   30.3   30.0  122.2   59.1   60.4   51.1   25.6   211.2    74.6   182.6   170.5   585.1
2011   65.1   41.2    7.3    4.3   16.2   68.8   51.8   59.5   25.8   25.4   29.9   59.0   131.9    27.8   180.1    81.0   454.2
2012   42.1   17.8   34.1  112.4   48.5   98.9  107.2   47.9   40.3   88.1   74.6   97.9   118.9   195.0   254.1   203.0   809.9
2013   47.0   31.1   53.1   23.8   49.0   20.2   32.7   52.2   43.6   96.6   52.9   59.2   176.1   125.8   105.1   193.1   561.4
2014  102.1   73.5   21.5   19.5   93.6   37.6   58.4   95.2   17.9   79.4   87.9   50.3   234.8   134.6   191.1   185.1   736.7
2015   55.4   38.7   24.0   20.7   50.0   22.0   84.2   72.5   50.4   43.3   71.2   51.5   144.4    94.7   178.7   164.9   584.0
2016   69.0   28.4   65.3   55.4   48.7  102.2   27.2   27.7   42.4   32.6   69.1   19.5   148.9   169.4   157.2   144.0   587.6
2017   47.5   37.7   32.8   13.5   61.2   64.1   79.0   60.3   57.7   18.0   42.2   89.8   104.6   107.5   203.4   117.9   603.7
2018   54.5   42.9   70.6   65.6   37.4    5.8   24.1   61.1   29.8   56.1   47.9   60.7   187.2   173.5    91.1   133.8   556.5
2019   26.1   27.9   47.1   11.0   40.9   87.8   41.5   36.7   63.8   92.0   71.5   82.0   114.7    99.0   166.0   227.3   628.3
