Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1989   25.8   57.1   59.6   65.0   16.9   57.3   29.5   51.7   23.0   61.9   38.6   80.8   118.3   141.5   138.5   123.4   567.2
1990   86.6   99.5   20.7   21.6   36.4   71.5   30.9   43.8   41.9   75.3   54.6  100.6   266.9    78.7   146.2   171.8   683.4
1991   64.7   84.4   59.3   39.2   16.3   64.2   37.6   23.6   47.8   56.5   78.8   50.7   249.7   114.8   125.5   183.1   623.2
1992   39.0   34.9   84.7   70.8   28.3   27.1   83.9   91.2   91.7   74.5   86.4   61.0   124.6   183.9   202.1   252.5   773.4
1993   79.0   17.4   17.5  102.8   81.5   42.3   61.0   71.7  114.3   76.3   68.1  104.3   157.4   201.7   175.1   258.8   836.2
1994   98.4   61.0   62.4   54.5   37.3   27.6   50.1   61.9   87.9   64.8   70.7   98.2   263.7   154.1   139.6   223.4   774.7
1995  107.6   81.2   52.1   26.7   43.8   25.6   25.5    8.8   98.4   34.6   81.8   70.5   287.1   122.7    59.9   214.9   656.8
1996   42.3   70.9   24.9   40.2   43.0   24.4   42.3   65.8   23.7   55.3   99.6   80.9   183.7   108.2   132.5   178.5   613.3
1997   15.3   87.2   24.4   17.9   61.9  148.0   63.0   65.3   23.4   44.0   74.3   96.6   183.4   104.2   276.3   141.8   721.5
1998   96.2   15.1   70.6  121.7   54.1  107.8   60.2   48.9   59.1  118.0   72.9   60.6   208.0   246.3   216.9   250.0   885.1
1999   97.4   33.6   91.4   57.9   55.3   83.9   23.0   85.5   77.8   68.0   54.8   95.7   191.6   204.6   192.4   200.6   824.2
2000   49.4   54.7   31.7  138.5   73.5   59.8   58.0   60.1  112.5  123.1  151.1   87.8   199.8   243.6   177.8   386.7  1000.1
2001   44.1   96.3   52.6   87.9   25.7   56.5   59.4   78.9   94.0   91.8   51.0   49.1   228.3   166.2   194.8   236.8   787.3
2002   57.9  105.6   40.2   32.2   62.5   54.2   91.8   88.3   31.0  123.2  106.9  108.8   212.6   134.9   234.3   261.1   902.5
2003   82.6   24.4   28.1   32.0   67.6   83.8   53.2   17.0   43.2   46.0   58.6   77.1   215.8   127.7   154.0   147.7   613.5
2004  107.0   52.4   42.3   84.3   30.3   73.1   81.5  166.1   36.2  126.6   35.6   38.0   236.5   156.8   320.7   198.4   873.3
2005   62.0   60.9   47.3   77.9   43.6   50.2   77.6   63.0   62.2   89.1   72.0   45.5   160.8   168.8   190.9   223.3   751.3
2006   29.1   49.5   85.9   38.9   96.1   18.6   30.6  106.8   73.0   82.6   67.0   89.0   124.1   221.0   156.0   222.6   767.2
2007   84.8   71.6   39.4   10.0   77.1  181.4  114.3   43.2   40.5   31.1   61.3   72.1   245.4   126.5   338.9   132.9   826.8
2008  137.0   33.7   75.8   77.2   25.8   75.6  106.2  110.9  107.9   74.3   67.0   59.8   242.8   178.8   292.6   249.1   951.1
2009   62.2   49.4   31.5   29.7   52.1   55.1  133.5   62.5   31.5   61.9  148.3   87.3   171.3   113.3   251.2   241.6   804.9
2010   69.4   71.8   65.4   21.4   22.1   42.6   61.5   76.4   83.8   65.1  118.6   40.9   228.5   108.9   180.5   267.5   739.1
2011   54.5   82.3   20.6   10.4   48.7   62.9   71.6   94.1   43.2   62.2   35.9   76.3   177.8    79.7   228.6   141.3   662.7
2012   47.3   24.0   21.5  141.2   62.1  141.6   96.5   88.0   94.6   86.3  112.1  128.0   147.6   224.9   326.1   293.0  1043.3
2013   69.9   34.2   60.1   22.3   76.6   40.7   55.7   60.9   43.6  111.6   52.6   76.9   232.1   159.1   157.3   207.9   705.3
